date,season,home_team,away_team,home_pts,away_pts,home_win,margin
2026-05-26,2018,MIL,BOS,89,96,0,7
2026-05-26,2018,POR,LAC,103,104,0,1
2026-05-26,2018,BRK,CLE,112,107,1,5
2026-05-26,2018,SAC,NOP,106,114,0,8
2026-05-26,2018,ORL,SAS,114,87,1,27
2026-05-26,2018,ATL,DEN,100,105,0,5
2026-05-26,2018,NYK,BRK,107,86,1,21
2026-05-26,2018,MIN,OKC,119,116,1,3
2026-05-26,2018,GSW,WAS,120,117,1,3
2026-05-26,2018,LAL,TOR,92,101,0,9
2026-05-26,2018,NOP,CLE,123,101,1,22
2026-05-26,2018,CHI,OKC,69,101,0,32
2026-05-26,2018,MEM,HOU,103,89,1,14
2026-05-26,2018,CHA,HOU,93,109,0,16
2026-05-26,2018,MIL,OKC,91,110,0,19
2026-05-26,2018,SAS,MIN,107,99,1,8
2026-05-26,2018,DAL,ATL,111,117,0,6
2026-05-26,2016,ATL,CHA,97,94,1,3
2026-05-26,2016,MIL,WAS,113,118,0,5
2026-05-26,2016,SAS,BRK,102,75,1,27
2026-05-26,2016,DEN,MIN,78,95,0,17
2026-05-26,2016,HOU,GSW,92,112,0,20
2026-05-26,2016,SAC,LAL,132,114,1,18
2026-05-26,2016,PHX,POR,110,92,1,18
2026-05-26,2016,IND,UTA,76,97,0,21
2026-05-26,2016,WAS,NYK,110,117,0,7
2026-05-26,2016,NOP,GSW,120,134,0,14
2026-05-26,2016,MEM,BRK,101,91,1,10
2026-05-26,2016,POR,PHX,90,101,0,11
2026-05-26,2016,LAC,SAC,114,109,1,5
2026-05-26,2017,CLE,NYK,117,88,1,29
2026-05-26,2017,POR,UTA,113,104,1,9
2026-05-26,2017,GSW,SAS,100,129,0,29
2026-05-26,2017,IND,DAL,130,121,1,9
2026-05-26,2017,ORL,MIA,96,108,0,12
2026-05-26,2017,TOR,DET,109,91,1,18
2026-05-26,2016,DET,CHI,98,94,1,4
2026-05-26,2016,BOS,TOR,103,113,0,10
2026-05-26,2016,ORL,OKC,136,139,0,3
2026-05-26,2016,PHI,UTA,71,99,0,28
2026-05-26,2016,ATL,DET,94,106,0,12
2026-05-26,2016,GSW,NOP,111,95,1,16
2026-05-26,2016,ORL,WAS,87,88,0,1
2026-05-26,2016,BOS,PHI,112,95,1,17
2026-05-26,2016,BRK,CHI,100,115,0,15
2026-05-26,2016,DET,UTA,92,87,1,5
2026-05-26,2016,TOR,IND,106,99,1,7
2026-05-26,2016,MIA,CHA,104,94,1,10
2026-05-26,2016,MIL,NYK,97,122,0,25
2026-05-26,2017,BOS,BRK,122,117,1,5
2026-05-26,2016,OKC,SAS,112,106,1,6
2026-05-26,2016,HOU,DEN,85,105,0,20
2026-05-26,2016,PHX,DAL,95,111,0,16
2026-05-26,2016,POR,NOP,112,94,1,18
2026-05-26,2016,SAC,LAC,104,111,0,7
2026-05-26,2016,LAL,MIN,111,112,0,1
2026-05-26,2016,IND,MEM,103,112,0,9
2026-05-26,2016,NYK,ATL,101,112,0,11
2026-05-26,2016,LAC,DAL,104,88,1,16
2026-05-26,2016,CLE,MIA,102,92,1,10
2026-05-26,2016,MEM,CLE,76,106,0,30
2026-05-26,2018,UTA,DEN,106,96,1,10
2026-05-26,2017,MIL,CHA,96,107,0,11
2026-05-26,2017,MEM,MIN,102,98,1,4
2026-05-26,2017,LAC,UTA,88,75,1,13
2026-05-26,2017,DET,MIL,98,83,1,15
2026-05-26,2017,MIA,SAS,99,106,0,7
2026-05-26,2017,PHX,GSW,100,106,0,6
2026-05-26,2017,OKC,LAL,113,96,1,17
2026-05-26,2017,HOU,DAL,93,92,1,1
2026-05-26,2017,MEM,WAS,112,103,1,9
2026-05-26,2017,ATL,SAC,106,95,1,11
2026-05-26,2017,BRK,CHI,88,118,0,30
2026-05-26,2017,TOR,DEN,105,102,1,3
2026-05-26,2017,LAC,PHX,116,98,1,18
2026-05-26,2018,CLE,BOS,102,99,1,3
2026-05-26,2018,GSW,HOU,121,122,0,1
2026-05-26,2018,DET,CHA,102,90,1,12
2026-05-26,2018,IND,BRK,140,131,1,9
2026-05-26,2018,ORL,MIA,116,109,1,7
2026-05-26,2018,WAS,PHI,120,115,1,5
2026-05-26,2018,BOS,MIL,100,108,0,8
2026-05-26,2018,MEM,NOP,103,91,1,12
2026-05-26,2017,SAC,MIN,106,103,1,3
